gyan_id,user_id,submission_date,link,category
253,105,2020-01-21,https://economictimes.indiatimes.com/magazines/panache/artificial-intellegence-for-the-win-new-ai-tool-can-predict-gestational-diabetes-risk-before-pregnancy/articleshow/73297828.cms,"Artificial Intelligence"
254,52,2020-01-21,https://www.freecodecamp.org/news/15-web-developer-portfolios-to-inspire-you-137fb1743cae/,General
255,44,2020-01-21,https://towardsdatascience.com/project-based-learning-for-data-scientists-df6a8f74e4a1,"Data Science"
256,36,2020-01-21,https://cio.economictimes.indiatimes.com/news/corporate-news/saas-startup-samya-ai-raises-6-million-from-sequoia-india/73468898,"Artificial Intelligence"
259,81,2020-01-21,https://medium.com/leukemiaairesearch/acute-lymphoblastic-leukemia-papers-evaluation-part-1-tensorflow-2-0-81d0b3fcb14b,General
260,104,2020-01-21,https://www.news18.com/news/lifestyle/new-machine-learning-to-identify-patients-with-colorectal-cancer-2443595.html,"Machine Learning"
261,18,2020-01-21,https://www.simplilearn.com/data-science-vs-big-data-vs-data-analytics-article,"Data Analytics"
262,94,2020-01-21,https://towardsdatascience.com/machine-learning-for-beginners-d247a9420dab,"Machine Learning"
263,96,2020-01-21,https://adtmag.com/articles/2019/04/04/linkedin-avro2tf.aspx?fbclid=IwAR30tbA6ZEYnZdEPCMnPAfO_nJaY2qfxBWvte84DP8tPgKlWq6R-5TTu85s,General
264,93,2020-01-21,https://youtu.be/5D1g1nQhYQs,General
265,84,2020-01-21,https://medium.com/cs-math/why-becoming-a-data-scientist-is-not-actually-easier-than-you-think-5b65b548069b,"Data Science"
266,38,2020-01-21,https://www.kdnuggets.com/2019/12/4-hottest-trends-data-science-2020.html,Career
267,87,2020-01-21,https://towardsdatascience.com/4-common-mistakes-python-beginners-should-avoid-89bcebd2c628,Python
